entity;coupled;degree;average-revs;first-entity-revisions;second-entity-revisions;shared-revisions;temp window
metadata-graphql-app;metadata-rest-app;66;11;11;10;7;1
metadata-graphql-app;metadata-rest-app;72;11;11;11;8;2
metadata-graphql-app;metadata-rest-app;78;12;11;12;9;3
