entity;coupled;degree;average-revs;first-entity-revisions;second-entity-revisions;shared-revisions;temp-window
metadata-graphql-app;metadata-rest-app;78;12;11;12;9;3
.mvn/wrapper/maven-wrapper.jar;metadata-graphql-app;15;7;2;11;1;
