entity;coupled;degree;average-revs;first-entity-revisions;second-entity-revisions;shared-revisions
metadata-graphql-app;metadata-rest-app;72;11;11;11;8
.mvn/wrapper/maven-wrapper.jar;metadata-graphql-app;15;7;2;11;1
