entity;coupled;degree;average-revs;;;;;;;;;
rest/metadata-provider-app/src/main/java/io/github/sergeivisotsky/metadata/app/config/AppConfig.java;rest/metadata-provider-app/src/main/java/io/github/sergeivisotsky/metadata/app/mapper/LookupHolderMapper.java;100;3;;;;;;;;;
rest/metadata-provider-app/src/main/java/io/github/sergeivisotsky/metadata/app/dto/ExtendedLayout.java;rest/metadata-provider-app/src/main/java/io/github/sergeivisotsky/metadata/app/mapper/LookupMetadataMapper.java;100;3;;;;;;;;;
rest/metadata-provider-app/src/main/java/io/github/sergeivisotsky/metadata/app/mapper/LayoutMapper.java;rest/metadata-provider-app/src/main/java/io/github/sergeivisotsky/metadata/app/mapper/LookupMetadataMapper.java;100;3;;;;;;;;;
rest/metadata-deployer/src/main/java/io/github/sergeivisotsky/metadata/deployer/DeployerApp.java;rest/metadata-provider-app/src/main/java/io/github/sergeivisotsky/metadata/app/dto/ExtendedLookupHolder.java;100;3;;;;;;;;;
rest/metadata-provider-app/src/main/java/io/github/sergeivisotsky/metadata/preconfig/app/dto/ExtendedLookupInfo.java;rest/metadata-provider-app/src/main/java/io/github/sergeivisotsky/metadata/preconfig/app/mapper/FormSectionMapper.java;100;3;;;;;;;;;
rest/metadata-provider-app/src/main/java/io/github/sergeivisotsky/metadata/app/config/AppConfig.java;rest/metadata-provider-app/src/main/java/io/github/sergeivisotsky/metadata/app/mapper/LayoutMapper.java;100;3;;;;;;;;;
rest/metadata-provider-app/src/main/java/io/github/sergeivisotsky/metadata/app/dto/ExtendedLookupMetadata.java;rest/metadata-provider-app/src/main/java/io/github/sergeivisotsky/metadata/app/mapper/LayoutMapper.java;100;3;;;;;;;;;
rest/metadata-provider-app/src/main/java/io/github/sergeivisotsky/metadata/app/dto/ExtendedFormMetadata.java;rest/metadata-provider-app/src/main/java/io/github/sergeivisotsky/metadata/app/mapper/LookupHolderMapper.java;100;3;;;;;;;;;
rest/metadata-provider-app/src/main/java/io/github/sergeivisotsky/metadata/preconfig/app/dto/ExtendedNavigation.java;rest/metadata-provider-app/src/main/java/io/github/sergeivisotsky/metadata/preconfig/app/dto/ExtendedNavigationElement.java;100;3;;;;;;;;;
rest/metadata-provider-app/src/main/java/io/github/sergeivisotsky/metadata/app/config/AppConfig.java;rest/metadata-provider-app/src/main/java/io/github/sergeivisotsky/metadata/app/dto/ExtendedLookupMetadata.java;100;3;;;;;;;;;
rest/metadata-deployer/src/main/java/io/github/sergeivisotsky/metadata/deployer/DeployerApp.java;rest/metadata-provider-app/src/main/java/io/github/sergeivisotsky/metadata/app/dto/ExtendedFormMetadata.java;100;3;;;;;;;;;
