entity;coupled;degree;average-revs;first-entity-revisions;second-entity-revisions;shared-revisions
clouddriver;deck;79;1997;1933;2061;1582
deck;orca;77;1846;2061;1630;1424
clouddriver;orca;76;1782;1933;1630;1355
gate;orca;52;1212;793;1630;638
deck;gate;50;1427;2061;793;724
clouddriver;gate;49;1363;1933;793;680
echo;orca;44;1106;581;1630;490
deck;keel;43;1366;2061;670;589
front50;gate;42;685;576;793;288
echo;igor;42;527;581;473;223
clouddriver;keel;41;1302;1933;670;537
echo;gate;41;687;581;793;286
clouddriver;echo;40;1257;1933;581;514
front50;orca;40;1103;576;1630;450
deck;echo;39;1321;2061;581;522
clouddriver;front50;39;1255;1933;576;491
gate;igor;39;633;793;473;249
keel;orca;38;1150;670;1630;446
deck;front50;37;1319;2061;576;496
igor;orca;37;1052;473;1630;394
echo;keel;37;626;581;670;232
echo;front50;36;579;581;576;213
front50;igor;36;525;576;473;192
echo;fiat;36;458;581;334;165
gate;keel;34;732;793;670;253
fiat;gate;34;564;334;793;196
fiat;front50;34;455;334;576;155
deck;igor;33;1267;2061;473;420
clouddriver;igor;33;1203;1933;473;407
igor;rosco;33;421;473;368;139
fiat;igor;33;404;334;473;134
kayenta;keel;32;513;355;670;164
echo;rosco;31;475;581;368;148
front50;keel;30;623;576;670;188
igor;keel;30;572;473;670;175
front50;rosco;30;472;576;368;144
fiat;keel;29;502;334;670;146
echo;kayenta;29;468;581;355;140
fiat;rosco;29;351;334;368;103
orca;rosco;28;999;1630;368;284
kayenta;orca;28;993;355;1630;284
gate;rosco;28;581;793;368;166
gate;kayenta;28;574;793;355;166
igor;kayenta;28;414;473;355;120
fiat;kayenta;27;345;334;355;96
clouddriver;rosco;26;1151;1933;368;301
fiat;orca;26;982;334;1630;265
deck;rosco;25;1215;2061;368;306
deck;kayenta;25;1208;2061;355;302
clouddriver;kayenta;25;1144;1933;355;297
clouddriver;fiat;25;1134;1933;334;294
deck;fiat;24;1198;2061;334;294
front50;kayenta;24;466;576;355;114
kayenta;rosco;22;362;355;368;83
keel;rosco;21;519;670;368;113
